,lab,address,pincode,city,state,type,location,,
59,"PanGenomics International Pvt. Ltd., Ahmedabad","PanGenomics International Pvt. Ltd., 1st floor sankalp Squre Juna sharda Mandir Cross Road, Ahmedabad, Gujarat 380006",380006,Ahmedabad,Gujarat,Private Laboratory,"(23.02316935, 72.56991165, 0.0)",,
60,"Goa Medical College, Bambolim","Goa Medical College and Hospital, Bambolim Bambolim, Tiswadi Goa India 403202",403202,Goa,Goa,Government Laboratory,"(15.463718766970562, 73.85823078152282, 0.0)",,
61,"Pandit Bhagwat Dayal Sharma Post Graduate Institute of Medical Sciences, Rohtak","Pandit Bhagwat Dayal Sharma Post Graduate Institute of Medical Sciences, SH 16A, Dev Colony, Rohtak, Haryana 124514",124514,Rohtak,Haryana,Government Laboratory,"(29.073685, 76.5565556, 0.0)",,
62,"BPS Government Medical College for Women, Sonipat","Bhagat Phool Singh Government Medical College, Ganaur - Gohana Rd, Khanpur Kalan, Haryana 131305",131305,Sonipat,Haryana,Government Laboratory,"(29.1579004, 76.79504, 0.0)",,
63,"ESIC Medical College and Hospital, Faridabad","ESIC Medical College and Hospital, NH-3, NIT, Faridabad, Haryana",121012,Faridabad,Haryana,Government Laboratory,"(-25.4165564, -49.2688127, 0.0)",,
64,"ICAR-National Research Centre on Equines, Hisar","ICAR-National Research Centre on Equines, Sirsa Road, Hisar , 125001, Haryana, India",125001,Hisar,Haryana,Government Laboratory,"(29.0106022, 75.6050525, 0.0)",,
65,"Kalpana Chawla Government Medical College and Hospital, Karnal","Kalpana Chawla Government Medical College and Hospital, Karnal, Haryana 132001, India",132001,Karnal,Haryana,Government Laboratory,"(43.85736109592889, 126.57150180616298, 0.0)",,
66,"Strand Life Sciences, Gurugram","Strand Life Sciences, A-17, Info Technology Park, Sector 34, Gurugram, Haryana 122001",122001,Gurugram,Haryana,Private Laboratory,"(28.475699717975083, 77.03625020974461, 0.0)",,
67,"SRL Limited, Gurugram","SRL Limited, GP 26 Sector 18, Gurugram, Haryana, India Pin 122015",122015,Gurugram,Haryana,Private Laboratory,"(28.2514318, 76.9091653, 0.0)",,
68,"Modern Diagnostic & research Centre Laboratory, Gurugram","Modern Diagnostic & research Centre Laboratory, 363-364/4, Jawahar Nagar, New Railway Road, Gurugram-122001, Haryana",122001,Gurugram,Haryana,Private Laboratory,"(28.475699717975083, 77.03625020974461, 0.0)",,
